source_id,citation,doi,pub_year,study_type,peer_reviewed,country,region,population_setting,age_min,age_max,age_category,extraction_basis,sex,level_of_play,sport_raw,sport,sport_category,exposure_context,subgroup_label,sample_size,athlete_exposures,season_or_timeframe,injury_count,injury_type_raw,injury_category,rate_raw,rate_denominator_raw,rate_per_1000_ae,mouthguard_required,mouthguard_use_rate,mouthguard_injury_relation,extraction_date,extractor,extraction_notes,quality_flag
neiss2023,"Consumer Product Safety Commission. National Electronic Injury Surveillance System (NEISS), 2006-2025 (online database, released April 2026). Case-level extract: Body Part = 88 (Mouth) × all 23 sport-related product codes × treatment dates 01/01/2023-12/31/2023. Retrieved via https://www.cpsc.gov/cgibin/NEISSQuery/ on 2026-05-23.",,2023,surveillance,FALSE,US,,mixed,5,22,mixed,youth_primary,mixed,mixed,all 23 sport-related product codes,all_sports_aggregate,,all,all_youth_aggregate,,,2023 calendar year,543,"ED-treated mouth injury (NEISS Body_Part = 88, includes teeth) — sport-related (Product_1 ∈ 23 sport codes)",unspecified_dental,,,,unspecified,,not_addressed,2026-05-23,VB-AI-assisted-2026-05-23,"Raw NEISS case count for all sports × all youth (5-22); weighted national estimate = 14,501. Filtered from neiss_dental_sports_neiss_2023.csv on 2026-05-23. Headline 2023 NEISS rollup for the project's scope.",partial_data
neiss2023,"Consumer Product Safety Commission. National Electronic Injury Surveillance System (NEISS), 2006-2025 (online database, released April 2026). Case-level extract: Body Part = 88 (Mouth) × all 23 sport-related product codes × treatment dates 01/01/2023-12/31/2023. Retrieved via https://www.cpsc.gov/cgibin/NEISSQuery/ on 2026-05-23.",,2023,surveillance,FALSE,US,,mixed,5,12,youth,youth_primary,mixed,mixed,all 23 sport-related product codes (youth band),all_sports_aggregate,,all,age_band_youth,,,2023 calendar year,200,"ED-treated mouth injury (NEISS Body_Part = 88, includes teeth) — sport-related (Product_1 ∈ 23 sport codes)",unspecified_dental,,,,unspecified,,not_addressed,2026-05-23,VB-AI-assisted-2026-05-23,"Raw NEISS case count for all sports × youth (5-12); weighted national estimate = 4,690. Filtered from neiss_dental_sports_neiss_2023.csv on 2026-05-23.",partial_data
neiss2023,"Consumer Product Safety Commission. National Electronic Injury Surveillance System (NEISS), 2006-2025 (online database, released April 2026). Case-level extract: Body Part = 88 (Mouth) × all 23 sport-related product codes × treatment dates 01/01/2023-12/31/2023. Retrieved via https://www.cpsc.gov/cgibin/NEISSQuery/ on 2026-05-23.",,2023,surveillance,FALSE,US,,mixed,13,17,adolescent,youth_primary,mixed,mixed,all 23 sport-related product codes (adolescent band),all_sports_aggregate,,all,age_band_adolescent,,,2023 calendar year,269,"ED-treated mouth injury (NEISS Body_Part = 88, includes teeth) — sport-related (Product_1 ∈ 23 sport codes)",unspecified_dental,,,,unspecified,,not_addressed,2026-05-23,VB-AI-assisted-2026-05-23,"Raw NEISS case count for all sports × adolescent (13-17); weighted national estimate = 7,177. Filtered from neiss_dental_sports_neiss_2023.csv on 2026-05-23.",partial_data
neiss2023,"Consumer Product Safety Commission. National Electronic Injury Surveillance System (NEISS), 2006-2025 (online database, released April 2026). Case-level extract: Body Part = 88 (Mouth) × all 23 sport-related product codes × treatment dates 01/01/2023-12/31/2023. Retrieved via https://www.cpsc.gov/cgibin/NEISSQuery/ on 2026-05-23.",,2023,surveillance,FALSE,US,,mixed,18,22,collegiate,youth_primary,mixed,mixed,all 23 sport-related product codes (collegiate band),all_sports_aggregate,,all,age_band_collegiate,,,2023 calendar year,74,"ED-treated mouth injury (NEISS Body_Part = 88, includes teeth) — sport-related (Product_1 ∈ 23 sport codes)",unspecified_dental,,,,unspecified,,not_addressed,2026-05-23,VB-AI-assisted-2026-05-23,"Raw NEISS case count for all sports × collegiate (18-22); weighted national estimate = 2,634. Filtered from neiss_dental_sports_neiss_2023.csv on 2026-05-23.",partial_data
neiss2023,"Consumer Product Safety Commission. National Electronic Injury Surveillance System (NEISS), 2006-2025 (online database, released April 2026). Case-level extract: Body Part = 88 (Mouth) × all 23 sport-related product codes × treatment dates 01/01/2023-12/31/2023. Retrieved via https://www.cpsc.gov/cgibin/NEISSQuery/ on 2026-05-23.",,2023,surveillance,FALSE,US,,mixed,5,22,mixed,youth_primary,mixed,mixed,basketball,basketball,limited_contact,all,,,,2023 calendar year,192,"ED-treated mouth injury (NEISS Body_Part = 88, includes teeth) — sport-related (Product_1 ∈ 23 sport codes)",unspecified_dental,,,,unspecified,,not_addressed,2026-05-23,VB-AI-assisted-2026-05-23,"Raw NEISS case count for basketball × all youth (5-22); weighted national estimate = 4,910. Filtered from neiss_dental_sports_neiss_2023.csv on 2026-05-23.",partial_data
neiss2023,"Consumer Product Safety Commission. National Electronic Injury Surveillance System (NEISS), 2006-2025 (online database, released April 2026). Case-level extract: Body Part = 88 (Mouth) × all 23 sport-related product codes × treatment dates 01/01/2023-12/31/2023. Retrieved via https://www.cpsc.gov/cgibin/NEISSQuery/ on 2026-05-23.",,2023,surveillance,FALSE,US,,mixed,5,22,mixed,youth_primary,mixed,mixed,baseball,baseball,limited_contact,all,,,,2023 calendar year,86,"ED-treated mouth injury (NEISS Body_Part = 88, includes teeth) — sport-related (Product_1 ∈ 23 sport codes)",unspecified_dental,,,,unspecified,,not_addressed,2026-05-23,VB-AI-assisted-2026-05-23,"Raw NEISS case count for baseball × all youth (5-22); weighted national estimate = 2,493. Filtered from neiss_dental_sports_neiss_2023.csv on 2026-05-23.",partial_data
neiss2023,"Consumer Product Safety Commission. National Electronic Injury Surveillance System (NEISS), 2006-2025 (online database, released April 2026). Case-level extract: Body Part = 88 (Mouth) × all 23 sport-related product codes × treatment dates 01/01/2023-12/31/2023. Retrieved via https://www.cpsc.gov/cgibin/NEISSQuery/ on 2026-05-23.",,2023,surveillance,FALSE,US,,mixed,5,22,mixed,youth_primary,mixed,mixed,football american,football_american,contact,all,,,,2023 calendar year,83,"ED-treated mouth injury (NEISS Body_Part = 88, includes teeth) — sport-related (Product_1 ∈ 23 sport codes)",unspecified_dental,,,,unspecified,,not_addressed,2026-05-23,VB-AI-assisted-2026-05-23,"Raw NEISS case count for football_american × all youth (5-22); weighted national estimate = 2,046. Filtered from neiss_dental_sports_neiss_2023.csv on 2026-05-23.",partial_data
neiss2023,"Consumer Product Safety Commission. National Electronic Injury Surveillance System (NEISS), 2006-2025 (online database, released April 2026). Case-level extract: Body Part = 88 (Mouth) × all 23 sport-related product codes × treatment dates 01/01/2023-12/31/2023. Retrieved via https://www.cpsc.gov/cgibin/NEISSQuery/ on 2026-05-23.",,2023,surveillance,FALSE,US,,mixed,5,22,mixed,youth_primary,mixed,mixed,football association,football_association,limited_contact,all,,,,2023 calendar year,57,"ED-treated mouth injury (NEISS Body_Part = 88, includes teeth) — sport-related (Product_1 ∈ 23 sport codes)",unspecified_dental,,,,unspecified,,not_addressed,2026-05-23,VB-AI-assisted-2026-05-23,"Raw NEISS case count for football_association × all youth (5-22); weighted national estimate = 1,217. Filtered from neiss_dental_sports_neiss_2023.csv on 2026-05-23.",partial_data
neiss2023,"Consumer Product Safety Commission. National Electronic Injury Surveillance System (NEISS), 2006-2025 (online database, released April 2026). Case-level extract: Body Part = 88 (Mouth) × all 23 sport-related product codes × treatment dates 01/01/2023-12/31/2023. Retrieved via https://www.cpsc.gov/cgibin/NEISSQuery/ on 2026-05-23.",,2023,surveillance,FALSE,US,,mixed,5,22,mixed,youth_primary,mixed,mixed,softball,softball,limited_contact,all,,,,2023 calendar year,24,"ED-treated mouth injury (NEISS Body_Part = 88, includes teeth) — sport-related (Product_1 ∈ 23 sport codes)",unspecified_dental,,,,unspecified,,not_addressed,2026-05-23,VB-AI-assisted-2026-05-23,Raw NEISS case count for softball × all youth (5-22); weighted national estimate = 724. Filtered from neiss_dental_sports_neiss_2023.csv on 2026-05-23.,partial_data
neiss2023,"Consumer Product Safety Commission. National Electronic Injury Surveillance System (NEISS), 2006-2025 (online database, released April 2026). Case-level extract: Body Part = 88 (Mouth) × all 23 sport-related product codes × treatment dates 01/01/2023-12/31/2023. Retrieved via https://www.cpsc.gov/cgibin/NEISSQuery/ on 2026-05-23.",,2023,surveillance,FALSE,US,,mixed,5,22,mixed,youth_primary,mixed,mixed,skateboarding,skateboarding,limited_contact,all,,,,2023 calendar year,19,"ED-treated mouth injury (NEISS Body_Part = 88, includes teeth) — sport-related (Product_1 ∈ 23 sport codes)",unspecified_dental,,,,unspecified,,not_addressed,2026-05-23,VB-AI-assisted-2026-05-23,Raw NEISS case count for skateboarding × all youth (5-22); weighted national estimate = 540. Filtered from neiss_dental_sports_neiss_2023.csv on 2026-05-23.,partial_data
