source_id,citation,doi,pub_year,study_type,peer_reviewed,country,region,population_setting,age_min,age_max,age_category,extraction_basis,sex,level_of_play,sport_raw,sport,sport_category,exposure_context,subgroup_label,sample_size,athlete_exposures,season_or_timeframe,injury_count,injury_type_raw,injury_category,rate_raw,rate_denominator_raw,rate_per_1000_ae,mouthguard_required,mouthguard_use_rate,mouthguard_injury_relation,extraction_date,extractor,extraction_notes,quality_flag
welch2010,"Welch, C. L., Thomson, W. M., & Kennedy, R. (2010). ACC claims for sports-related dental trauma from 1999 to 2008: a retrospective analysis. New Zealand Dental Journal, 106(4), 137-142.",,2010,surveillance,TRUE,NZ,,mixed,0,99,mixed,youth_primary,mixed,mixed,"All sports (aggregate, ACC dental claims)",all_sports_aggregate,,all,,,,1999-2008,,sports-related dental trauma (ACC claims),unspecified_dental,,,,unspecified,,not_addressed,2026-05-23,VB-AI-assisted-2026-05-23,"10-year aggregate, all ages. Annual new claims for orofacial injury (any cause) ranged 24,998-31,257 (~28k/yr; ~280k over 10 yrs). Sport-related = 20.6-26.2% of new claims. Across the 10 years, ages 11-20 made 41.7-44.4% of sports-related claims. Sex split: 61.3% male, 38.7% female.",partial_data
welch2010,"Welch, C. L., Thomson, W. M., & Kennedy, R. (2010). ACC claims for sports-related dental trauma from 1999 to 2008: a retrospective analysis. New Zealand Dental Journal, 106(4), 137-142.",,2010,surveillance,TRUE,NZ,,mixed,11,20,mixed,youth_primary,mixed,mixed,"All sports (ages 11-20 subset, ACC dental claims)",all_sports_aggregate,,all,age_11_20,,,1999-2008,,sports-related dental trauma (ACC claims),unspecified_dental,,,,unspecified,,not_addressed,2026-05-23,VB-AI-assisted-2026-05-23,Ages 11-20 made up 41.7-44.4% of sports-related dental claims across 1999-2008. Absolute count not in abstract; can be computed from full text or ACC raw.,partial_data
welch2010,"Welch, C. L., Thomson, W. M., & Kennedy, R. (2010). ACC claims for sports-related dental trauma from 1999 to 2008: a retrospective analysis. New Zealand Dental Journal, 106(4), 137-142.",,2010,surveillance,TRUE,NZ,,mixed,0,99,mixed,youth_primary,mixed,mixed,rugby,rugby,contact,all,source_sport_rugby,,,1999-2008,,sports-related dental trauma (ACC claims),unspecified_dental,,share of sports-related dental claims (range across 1999-2008): 22.2-33.1%,,unspecified,,not_addressed,2026-05-23,VB-AI-assisted-2026-05-23,"Source reports this sport accounted for 22.2-33.1% of sports-related dental claims across 1999-2008. Absolute counts require full text. NOTE: source's sport categories don't all map cleanly: 'water sports' is broader than the project's `swimming` value; 'cycling', 'cricket', and 'netball' are not currently in the §6.1 controlled vocabulary (see docs/decisions.md for next-session taxonomy expansion). subgroup_label preserves the source's original sport name for those that collapse to the same placeholder sport value.",partial_data
welch2010,"Welch, C. L., Thomson, W. M., & Kennedy, R. (2010). ACC claims for sports-related dental trauma from 1999 to 2008: a retrospective analysis. New Zealand Dental Journal, 106(4), 137-142.",,2010,surveillance,TRUE,NZ,,mixed,0,99,mixed,youth_primary,mixed,mixed,water sports,swimming,non_contact,all,source_sport_water_sports,,,1999-2008,,sports-related dental trauma (ACC claims),unspecified_dental,,share of sports-related dental claims (range across 1999-2008): 14.2-20.8%,,unspecified,,not_addressed,2026-05-23,VB-AI-assisted-2026-05-23,"Source reports this sport accounted for 14.2-20.8% of sports-related dental claims across 1999-2008. Absolute counts require full text. NOTE: source's sport categories don't all map cleanly: 'water sports' is broader than the project's `swimming` value; 'cycling', 'cricket', and 'netball' are not currently in the §6.1 controlled vocabulary (see docs/decisions.md for next-session taxonomy expansion). subgroup_label preserves the source's original sport name for those that collapse to the same placeholder sport value.",partial_data
welch2010,"Welch, C. L., Thomson, W. M., & Kennedy, R. (2010). ACC claims for sports-related dental trauma from 1999 to 2008: a retrospective analysis. New Zealand Dental Journal, 106(4), 137-142.",,2010,surveillance,TRUE,NZ,,mixed,0,99,mixed,youth_primary,mixed,mixed,cycling,cycling,non_contact,all,source_sport_cycling,,,1999-2008,,sports-related dental trauma (ACC claims),unspecified_dental,,share of sports-related dental claims (range across 1999-2008): 1.5-15.3%,,unspecified,,not_addressed,2026-05-23,VB-AI-assisted-2026-05-23,"Source reports this sport accounted for 1.5-15.3% of sports-related dental claims across 1999-2008. Absolute counts require full text. NOTE: source's sport categories don't all map cleanly: 'water sports' is broader than the project's `swimming` value; 'cycling', 'cricket', and 'netball' are not currently in the §6.1 controlled vocabulary (see docs/decisions.md for next-session taxonomy expansion). subgroup_label preserves the source's original sport name for those that collapse to the same placeholder sport value.",partial_data
welch2010,"Welch, C. L., Thomson, W. M., & Kennedy, R. (2010). ACC claims for sports-related dental trauma from 1999 to 2008: a retrospective analysis. New Zealand Dental Journal, 106(4), 137-142.",,2010,surveillance,TRUE,NZ,,mixed,0,99,mixed,youth_primary,mixed,mixed,hockey,hockey_unspecified,,all,source_sport_hockey,,,1999-2008,,sports-related dental trauma (ACC claims),unspecified_dental,,share of sports-related dental claims (range across 1999-2008): 4.4%,,unspecified,,not_addressed,2026-05-23,VB-AI-assisted-2026-05-23,"Source reports this sport accounted for 4.4% of sports-related dental claims across 1999-2008. Absolute counts require full text. NOTE: source's sport categories don't all map cleanly: 'water sports' is broader than the project's `swimming` value; 'cycling', 'cricket', and 'netball' are not currently in the §6.1 controlled vocabulary (see docs/decisions.md for next-session taxonomy expansion). subgroup_label preserves the source's original sport name for those that collapse to the same placeholder sport value.",partial_data
welch2010,"Welch, C. L., Thomson, W. M., & Kennedy, R. (2010). ACC claims for sports-related dental trauma from 1999 to 2008: a retrospective analysis. New Zealand Dental Journal, 106(4), 137-142.",,2010,surveillance,TRUE,NZ,,mixed,0,99,mixed,youth_primary,mixed,mixed,basketball,basketball,limited_contact,all,source_sport_basketball,,,1999-2008,,sports-related dental trauma (ACC claims),unspecified_dental,,share of sports-related dental claims (range across 1999-2008): 4.8%,,unspecified,,not_addressed,2026-05-23,VB-AI-assisted-2026-05-23,"Source reports this sport accounted for 4.8% of sports-related dental claims across 1999-2008. Absolute counts require full text. NOTE: source's sport categories don't all map cleanly: 'water sports' is broader than the project's `swimming` value; 'cycling', 'cricket', and 'netball' are not currently in the §6.1 controlled vocabulary (see docs/decisions.md for next-session taxonomy expansion). subgroup_label preserves the source's original sport name for those that collapse to the same placeholder sport value.",partial_data
welch2010,"Welch, C. L., Thomson, W. M., & Kennedy, R. (2010). ACC claims for sports-related dental trauma from 1999 to 2008: a retrospective analysis. New Zealand Dental Journal, 106(4), 137-142.",,2010,surveillance,TRUE,NZ,,mixed,0,99,mixed,youth_primary,mixed,mixed,soccer,football_association,limited_contact,all,source_sport_soccer,,,1999-2008,,sports-related dental trauma (ACC claims),unspecified_dental,,share of sports-related dental claims (range across 1999-2008): 6.9%,,unspecified,,not_addressed,2026-05-23,VB-AI-assisted-2026-05-23,"Source reports this sport accounted for 6.9% of sports-related dental claims across 1999-2008. Absolute counts require full text. NOTE: source's sport categories don't all map cleanly: 'water sports' is broader than the project's `swimming` value; 'cycling', 'cricket', and 'netball' are not currently in the §6.1 controlled vocabulary (see docs/decisions.md for next-session taxonomy expansion). subgroup_label preserves the source's original sport name for those that collapse to the same placeholder sport value.",partial_data
welch2010,"Welch, C. L., Thomson, W. M., & Kennedy, R. (2010). ACC claims for sports-related dental trauma from 1999 to 2008: a retrospective analysis. New Zealand Dental Journal, 106(4), 137-142.",,2010,surveillance,TRUE,NZ,,mixed,0,99,mixed,youth_primary,mixed,mixed,cricket,cricket,limited_contact,all,source_sport_cricket,,,1999-2008,,sports-related dental trauma (ACC claims),unspecified_dental,,share of sports-related dental claims (range across 1999-2008): 4.7%,,unspecified,,not_addressed,2026-05-23,VB-AI-assisted-2026-05-23,"Source reports this sport accounted for 4.7% of sports-related dental claims across 1999-2008. Absolute counts require full text. NOTE: source's sport categories don't all map cleanly: 'water sports' is broader than the project's `swimming` value; 'cycling', 'cricket', and 'netball' are not currently in the §6.1 controlled vocabulary (see docs/decisions.md for next-session taxonomy expansion). subgroup_label preserves the source's original sport name for those that collapse to the same placeholder sport value.",partial_data
welch2010,"Welch, C. L., Thomson, W. M., & Kennedy, R. (2010). ACC claims for sports-related dental trauma from 1999 to 2008: a retrospective analysis. New Zealand Dental Journal, 106(4), 137-142.",,2010,surveillance,TRUE,NZ,,mixed,0,99,mixed,youth_primary,mixed,mixed,netball,netball,limited_contact,all,source_sport_netball,,,1999-2008,,sports-related dental trauma (ACC claims),unspecified_dental,,share of sports-related dental claims (range across 1999-2008): 3.9%,,unspecified,,not_addressed,2026-05-23,VB-AI-assisted-2026-05-23,"Source reports this sport accounted for 3.9% of sports-related dental claims across 1999-2008. Absolute counts require full text. NOTE: source's sport categories don't all map cleanly: 'water sports' is broader than the project's `swimming` value; 'cycling', 'cricket', and 'netball' are not currently in the §6.1 controlled vocabulary (see docs/decisions.md for next-session taxonomy expansion). subgroup_label preserves the source's original sport name for those that collapse to the same placeholder sport value.",partial_data
