source_id,citation,doi,pub_year,study_type,peer_reviewed,country,region,population_setting,age_min,age_max,age_category,extraction_basis,sex,level_of_play,sport_raw,sport,sport_category,exposure_context,subgroup_label,sample_size,athlete_exposures,season_or_timeframe,injury_count,injury_type_raw,injury_category,rate_raw,rate_denominator_raw,rate_per_1000_ae,mouthguard_required,mouthguard_use_rate,mouthguard_injury_relation,extraction_date,extractor,extraction_notes,quality_flag
alawawdeh2021,"Alawawdeh ZN, et al. (2021). Emergency Department Visits From 2014 to 2018 for Head Injuries in Youth Non-Tackle Football Compared With Other Sports.",,2021,surveillance,TRUE,US,,mixed,6,18,mixed,youth_primary,mixed,mixed,non-tackle football (flag/touch/7v7) + comparators,football_american,limited_contact,all,non_tackle_football,26770,,2014-2018,26770,"head-region injuries (head, ear, eyeball, mouth, or face)",orofacial_with_dental,,NEISS incident reports 2014-2018,,unspecified,,not_addressed,2026-05-24,VB-AI-assisted-2026-05-24,"NEISS 2014-2018 ages 6-18, basketball+football+soccer head-region injuries. 26,770 reports. Football manually split into tackle vs non-tackle by narrative. Non-tackle: head most-injured body part, then face; most common dx = laceration. Annual rates per 100k participants computed using SFIA participation data.",partial_data
alawawdeh2022,"Alawawdeh ZN, et al. (2022). A Comparison of 2,845 Head and Neck Injuries in Various Martial Arts.",,2022,surveillance,TRUE,US,,mixed,0,99,mixed,youth_primary,mixed,mixed,"martial arts (karate, kung fu, kickboxing, taekwondo, judo, jiu jitsu)",martial_arts_other,contact,all,,2845,,2000-2019 (20 years),2845,head + neck injuries — NEISS,orofacial_with_dental,,20-yr NEISS aggregate count,,unspecified,,not_addressed,2026-05-24,VB-AI-assisted-2026-05-24,"NEISS 20-yr (2000-2019) head+neck martial arts injuries. 2,845 cases. Taekwondo most likely head injury; jiu jitsu/judo most likely neck. Judo highest admission rate.",partial_data
ali2007,"Ali J, Jamieson L. (2007). Dentoalveolar trauma in Glasgow: an audit of mechanism and injury.",,2007,case_series,TRUE,GB,Glasgow,mixed,4,16,mixed,youth_primary,mixed,recreational,all etiologies (sport 18% subset),all_activities_aggregate,,all,overall,,,2002-2004,,dentoalveolar trauma (audit),unspecified_dental,49.0,(%) of all injuries from falls (sport = 18%),,unspecified,,not_addressed,2026-05-24,VB-AI-assisted-2026-05-24,"Glasgow Dental Hospital pediatric trauma clinic audit 2002-2004. Falls 49%, sport 18%, bike/scooter 13%, assault 7%, MVA 1.5%. Peak 8-11yo (43%). 64% trauma to >1 tooth. 58% involved hard tissue+pulp.",partial_data
ali2007,"Ali J, Jamieson L. (2007). Dentoalveolar trauma in Glasgow: an audit of mechanism and injury.",,2007,case_series,TRUE,GB,Glasgow,mixed,4,16,mixed,youth_primary,mixed,recreational,sports-related subset of dentoalveolar trauma,all_sports_aggregate,,all,sport_related,,,2002-2004,,sport-related dentoalveolar trauma (18% of total audit),unspecified_dental,18.0,(%) of total dental trauma attributable to sport,,unspecified,,not_addressed,2026-05-24,VB-AI-assisted-2026-05-24,Sport-related = 18% of total audit. 79% of sport-related trauma was in males.,partial_data
alkilzy2019,"Alkilzy M, Aljafar AM, Splieth CH. (2019). Prevalence and severity of traumatic dental injuries among young amateur soccer players: A screening investigation.",,2019,cross_sectional,TRUE,KW,,club,7,18,mixed,youth_primary,male,club,"amateur soccer (Kuwait, all 14 national clubs)",football_association,limited_contact,all,,667,,cross-sectional screening,169,TDI in soccer-playing youth (Andreasen 2007 classification),enamel_fracture,25.0,(%) of 667 young amateur soccer players with any TDI,,unspecified,,not_addressed,2026-05-25,VB-AI-assisted-2026-05-25,"667 male amateur soccer players, ages 7-18 (mean 13.4 ± 2.6). 213 injured teeth across 169 players (25%). Maxillary central incisors 91%. Enamel-only fracture 60%. Soccer-related TDI prevalence 11%. Slightly more TDI soccer-related (44%) than non-soccer (39%). Older players had more injuries.",partial_data
alotaibi2014,"Allareddy V, Itty A, Maiorini E, Lee MK, Rampa S, Allareddy V, Nalliah RP. (2014). Emergency department visits with facial fractures among children and adolescents: an analysis of profile and predictors of causes of injuries.",,2014,surveillance,TRUE,US,,mixed,0,21,mixed,youth_primary,mixed,mixed,all causes pediatric facial fracture ED visits (sport one of many),all_activities_aggregate,,all,,336124,,2008-2010,336124,facial fracture (nasal + mandible most common),orofacial_with_dental,,aggregate ED visit count 2008-2010 (NEDS),,unspecified,,not_addressed,2026-05-24,VB-AI-assisted-2026-05-24,"Nationwide Emergency Department Sample 2008-2010, all ED visits with facial fracture aged ≤21. 336,124 visits. Late adolescents 18-21 = 45.6% of visits, middle adolescents 15-17 = 26.6%. 74.7% male. Most common: nasal bones + mandible. Younger: falls/pedal cycle; older: firearm/MVA/assault.",partial_data
amy2005,Amy E. (2005). Oro-facial injuries in Central American and Caribbean sports games: a 20-year experience. Dental Traumatology.,,2005,case_series,TRUE,PR,,club,15,35,mixed,youth_primary,mixed,elite,"multi-sport international games (Puerto Rican delegation, 1980s-2005)",all_sports_aggregate,,all,,2107,,20-year retrospective (~1985-2005),18,acute/emergency orofacial conditions,orofacial_with_dental,6.0,(%) of 279 dental-clinic visits = 18 acute orofacial cases,,unspecified,,not_addressed,2026-05-24,VB-AI-assisted-2026-05-24,"20-year retrospective of Central American + Caribbean Sports Games dental services for the Puerto Rican delegation. 2107 total participants across 6 delegations. 279 (13.2%) seen for dental conditions. 18 (6% of 279, 0.85% of all participants) acute orofacial. Lip contusion most frequent (n=4). Basketball had most injuries (n=3). Note: international elite multi-age games; some delegations include youth.",partial_data
azadani2023,"Azadani, E. N., Peng, J., Townsend, J. A., & Collins, C. L. (2023). Traumatic dental injuries in high school athletes in the United States of America from 2005 to 2020. Dental Traumatology, 39(1), 73-81.",10.1111/edt.12800,2023,surveillance,TRUE,US,,school,14,18,adolescent,youth_primary,mixed,school_varsity,"All sports (aggregate, RIO 2005/06-2019/20)",all_sports_aggregate,,all,,,49987927,2005/06 through 2019/20 academic years,459,dental injuries (unspecified type),unspecified_dental,0.9,"per 100,000 athlete-exposures",0.00918,no,0.249,analyzed,2026-05-23,VB-AI-assisted-2026-05-23,"15-year aggregate. 459 dental injuries / 108,574 total injuries = 0.4% of all athlete injuries. mouthguard_use_rate is *at time of injury* (24.9% wearing MG when injured), not population-level prevalence. Mechanism: 60.4% contact with another player, 31.9% with apparatus.",partial_data
azadani2023,"Azadani, E. N., Peng, J., Townsend, J. A., & Collins, C. L. (2023). Traumatic dental injuries in high school athletes in the United States of America from 2005 to 2020. Dental Traumatology, 39(1), 73-81.",10.1111/edt.12800,2023,surveillance,TRUE,US,,school,14,18,adolescent,youth_primary,mixed,school_varsity,"All sports (competition, RIO 2005/06-2019/20)",all_sports_aggregate,,competition,,,,2005/06 through 2019/20 academic years,256,dental injuries (unspecified type),unspecified_dental,,"per 100,000 athlete-exposures (competition only)",,no,,analyzed,2026-05-23,VB-AI-assisted-2026-05-23,Competition-only subset: 256 of 459 dental injuries (55.8%). RR vs practice = 3.6 (95% CI 3.0-4.4). AE denominator for competition not in abstract — needs full text.,partial_data
azadani2023,"Azadani, E. N., Peng, J., Townsend, J. A., & Collins, C. L. (2023). Traumatic dental injuries in high school athletes in the United States of America from 2005 to 2020. Dental Traumatology, 39(1), 73-81.",10.1111/edt.12800,2023,surveillance,TRUE,US,,school,14,18,adolescent,youth_primary,mixed,school_varsity,"All sports (practice, RIO 2005/06-2019/20)",all_sports_aggregate,,practice,,,,2005/06 through 2019/20 academic years,200,dental injuries (unspecified type),unspecified_dental,,"per 100,000 athlete-exposures (practice only)",,no,,analyzed,2026-05-23,VB-AI-assisted-2026-05-23,Practice-only subset: 200 of 459 dental injuries (43.6%). 3 injuries (0.7%) had unclear exposure context. AE denominator for practice not in abstract — needs full text.,partial_data
