pmid,pub_year,journal,publication_types,has_abstract,language,title
42052228,2026,Orthopaedic journal of sports medicine,Journal Article,yes,eng,"Epidemiology of Softball Injuries Comparison of Softball-Related Injuries at US Emergency Departments Between High School and Collegiate Athletes: A 10-Year NEISS Analysis, 2015-2024."
41871283,2026,Clinical and experimental dental research,Journal Article|Systematic Review|Meta-Analysis|Review,yes,eng,Occurrence of Orofacial and Dental Injuries in Rugby: Systematic Review and Meta-Analysis.
41760758,2026,British dental journal,Journal Article|Review,yes,eng,Emergency management of sport-related orofacial trauma.
41742174,2026,BMC oral health,Journal Article|Systematic Review,yes,eng,"Oral health, orofacial pain and dysfunction, and orofacial trauma in athletes: a scoping review."
41501720,2026,BMC public health,Journal Article,yes,eng,"Prevalence and risk factors of orofacial trauma among child and adolescent athletes in Damascus, Syria: a cross-sectional study."
41441433,2025,"Sports (Basel, Switzerland)",Journal Article|Review,yes,eng,Research Progress on Common Sports Injuries Among Youth Ice Hockey Players and Prevention Strategies: A Narrative Review.
41058495,2025,Nederlands tijdschrift voor tandheelkunde,English Abstract|Journal Article,yes,dut,[Online survey Sports and oral health: the results].
40919643,2025,Clinical and experimental dental research,Journal Article,yes,eng,Dental Trauma Prevention and Injury Measures Among Supervisors of German Elite Handball Teams: A Questionnaire-Based Cross-Sectional Study.
40917008,2026,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,Epidemiology of Orofacial Trauma in Syrian Pediatric Athletes: A Cross-Sectional Study on Prevalence and Injury Patterns.
40771058,2026,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,Youth Basketball Players' Awareness and Experiences of Sports-Related Traumatic Dental Injuries and Mouthguards in Turkey: A Cross-Sectional Study.
40662680,2025,Swiss dental journal,Journal Article,yes,eng,"From Fitness to Fight: Associations between training motivation and injury prevalence in Muay Thai, K-1 and Kickboxing."
40655786,2025,Journal of pharmacy & bioallied sciences,Journal Article,yes,eng,Prevalence and Outcomes of Dental Trauma in Sports-Related Injuries in the Last 2 Years.
40267058,2025,PloS one,Journal Article,yes,eng,Motivators and barriers to mouthguard compliance by adult Gaelic football athletes.
39630092,2026,Clinical journal of sport medicine : official journal of the Canadian Academy of Sport Medicine,Journal Article,yes,eng,Experience of Orofacial Injuries and Use of Mouthguards - A Survey in German Elite Sport.
39578680,2025,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article|Review|Consensus Statement,yes,eng,Position Statement and Recommendations for Custom-Made Sport Mouthguards.
39452438,2024,Dentistry journal,Journal Article,yes,eng,"Traumatic Dental Injuries: Prevalence, First Aid, and Mouthguard Use in a Sample of Italian Kickboxing Athletes."
39297708,2024,Australian endodontic journal : the journal of the Australian Society of Endodontology Inc,Journal Article,yes,eng,"Permanent tooth avulsions: A retrospective analysis of the demographics and aetiology of cases at a tertiary hospital in Sydney, Australia."
38729211,2024,Journal of the American Veterinary Medical Association,Journal Article,yes,eng,Noncombat injury and illness prevalence and working score percentage quantify the impact on duty availability in US Army Special Operations military working dogs.
38641923,2024,Dental traumatology : official publication of International Association for Dental Traumatology,Systematic Review|Journal Article|Comparative Study,yes,eng,Comparative analysis of dental trauma in contact and non-contact sports: A systematic review.
38131151,2024,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,Oro-dental trauma burden and mouthguard usage among contact sports players: A call for sports dentistry initiatives in Sri Lanka.
37889242,2023,General dentistry,Review|Journal Article,yes,eng,Global research trends of studies related to mouthguards and dental injuries in sports activities: a bibliometric analysis.
37818921,2024,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,"Mechanisms of dental injuries in basketball, United States, 2003-2022."
37791703,2023,Irish medical journal,"Journal Article|Research Support, Non-U.S. Gov't",no,eng,Mouthguards reduce dental injuries and associated costs in Ladies Gaelic football.
37743045,2023,Journal of oral and maxillofacial surgery : official journal of the American Association of Oral and Maxillofacial Surgeons,Journal Article,yes,eng,"Trends in Soccer-Related Craniomaxillofacial Injuries, United States 2003-2022."
37524627,2023,Journal of science and medicine in sport,Systematic Review|Journal Article,yes,eng,Influence of wearing mouthguards on performance among athletes: A systematic review.
37431232,2023,Dental traumatology : official publication of International Association for Dental Traumatology,Journal Article,yes,eng,"Incidence, characteristics and cost of head, neck and dental injuries in non-professional football (soccer) using 3 years of sports injury insurance data."
