pmid,pub_year,journal,title,reason_code,doi,is_oa,oa_url,oa_host_type,publisher
11678537,2001,Dental traumatology : official publication of International Association for Dental Traumatology,"A retrospective study of dento-alveolar injuries of children in Ankara, Turkey.",R-data,10.1034/j.1600-9657.2001.170502.x,False,,,Wiley
11766091,2001,Dental traumatology : official publication of International Association for Dental Traumatology,A retrospective study of traumatic dental injuries in a Brazilian dental trauma clinic.,R-mixed,10.1034/j.1600-9657.2001.170602.x,False,,,Wiley
11880801,2002,Medicine and science in sports and exercise,Dental injuries in ice hockey games and training.,R-age,10.1097/00005768-200203000-00003,False,,,Ovid Technologies (Wolters Kluwer Health)
12017183,2002,Journal of endodontics,Causes of dental fractures in the early permanent dentition: a retrospective study.,R-data,10.1097/00004770-200203000-00016,False,,,Ovid Technologies (Wolters Kluwer Health)
12139268,2002,Australian dental journal,A survey of dental and oral trauma in south-east Queensland during 1998.,R-mixed,10.1111/j.1834-7819.2002.tb00318.x,False,,,Wiley
12154770,2002,Dental traumatology : official publication of International Association for Dental Traumatology,Dental trauma and level of information: mouthguard use in different contact sports.,R-age,10.1034/j.1600-9657.2002.00017.x,False,,,Wiley
12656848,2003,Dental traumatology : official publication of International Association for Dental Traumatology,"Traumatic dental injuries in children presenting for treatment at the Department of Pediatric Dentistry, Faculty of Dentistry, University of Jordan, 1997-2000.",R-data,10.1034/j.1600-9657.2003.00131.x,False,,,Wiley
12656867,2002,Dental traumatology : official publication of International Association for Dental Traumatology,Knowledge and prevention of dental trauma in team handball in Switzerland and Germany.,R-age,10.1034/j.1600-9657.2002.00123.x,False,,,Wiley
12848712,2003,Dental traumatology : official publication of International Association for Dental Traumatology,"Use of mouthguards by basketball players in Victoria, Australia.",R-age,10.1034/j.1600-9657.2003.00202.x,False,,,Wiley
15362317,2004,Journal of science and medicine in sport,Do community football players wear allocated protective equipment? Descriptive results from a randomised controlled trial.,R-data,10.1016/s1440-2440(04)80011-2,False,,,Elsevier BV
15562172,2004,British journal of sports medicine,Sports related maxillofacial injuries: the first maxillofacial trauma database in Switzerland.,R-age,10.1136/bjsm.2003.008581,True,https://bjsm.bmj.com/content/bjsports/38/6/750.full.pdf,publisher,BMJ
15643760,2003,Oral health & preventive dentistry,Etiology of traumatic dental injuries in 11 to 13-year-old schoolchildren.,R-data,,,,,
15853840,2005,Community dentistry and oral epidemiology,"Dental trauma and its association with anatomic, behavioral, and social variables among fifth and sixth grade schoolchildren in Jerusalem.",R-data,10.1111/j.1600-0528.2005.00202.x,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1600-0528.2005.00202.x,publisher,Wiley
16118304,2005,British journal of sports medicine,An evaluation of mouthguard requirements and dental injuries in New Zealand rugby union.,R-age,10.1136/bjsm.2004.016022,True,https://bjsm.bmj.com/content/bjsports/39/9/650.full.pdf,publisher,BMJ
16643287,2006,Dental traumatology : official publication of International Association for Dental Traumatology,"Mouthguard utilization rates during sport activities in Ankara, Turkey.",R-age,10.1111/j.1600-9657.2006.00397.x,False,,,Wiley
16872385,2006,Dental traumatology : official publication of International Association for Dental Traumatology,Aetiology and rates of treatment of traumatic dental injuries among 12-year-old school children in a town in southern Brazil.,R-data,10.1111/j.1600-9657.2006.00359.x,False,,,Wiley
17194069,2006,Community dental health,Prevalence and factors associated with traumatic dental injuries (TDI) to anterior teeth of 11-13 year old Thai children.,R-data,,,,,
17227375,2007,Dental traumatology : official publication of International Association for Dental Traumatology,Effectiveness of mouthguards in reducing neurocognitive deficits following sports-related cerebral concussion.,R-data,10.1111/j.1600-9657.2006.00488.x,False,,,Wiley
17511835,2007,Dental traumatology : official publication of International Association for Dental Traumatology,Dental injuries in inline skating - level of information and prevention.,R-age,10.1111/j.1600-9657.2005.00415.x,False,,,Wiley
17846669,2007,The journal of contemporary dental practice,Risk factors for traumatic dental injuries in an adolescent male population in India.,R-age,,,,,
18173668,2008,Dental traumatology : official publication of International Association for Dental Traumatology,Dental trauma that require fixation in a children's hospital.,R-data,10.1111/j.1600-9657.2006.00508.x,False,,,Wiley
18254,1977,British journal of sports medicine,The prevalence of dental injuries in rugby players and their attitude to mouthguards.,R-age,10.1136/bjsm.11.2.72,True,https://bjsm.bmj.com/content/bjsports/11/2/72.full.pdf,publisher,BMJ
18352919,2008,Dental traumatology : official publication of International Association for Dental Traumatology,"Dental and maxillofacial skeletal injuries seen at the University of Otago School of Dentistry, New Zealand 2000-2004.",R-mixed,10.1111/j.1600-9657.2007.00520.x,False,,,Wiley
18352922,2008,Dental traumatology : official publication of International Association for Dental Traumatology,Oro-facial injuries and mouthguard use in elite female field hockey players.,R-age,10.1111/j.1600-9657.2007.00527.x,False,,,Wiley
18721342,2008,Dental traumatology : official publication of International Association for Dental Traumatology,Basketball players' experience of dental injury and awareness about mouthguard in China.,R-age,10.1111/j.1600-9657.2008.00586.x,False,,,Wiley
18821955,2008,Dental traumatology : official publication of International Association for Dental Traumatology,"Dental injuries in mountain biking--a survey in Switzerland, Austria, Germany and Italy.",R-age,10.1111/j.1600-9657.2008.00660.x,False,,,Wiley
19021650,2008,Dental traumatology : official publication of International Association for Dental Traumatology,Retrospective clinical study of 90 avulsed permanent teeth in 58 children.,R-data,10.1111/j.1600-9657.2008.00674.x,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1600-9657.2008.00674.x,publisher,Wiley
19021660,2008,Dental traumatology : official publication of International Association for Dental Traumatology,Dental trauma in an Australian rural centre.,R-age,10.1111/j.1600-9657.2008.00689.x,False,,,Wiley
19208013,2009,Dental traumatology : official publication of International Association for Dental Traumatology,Does a free-of-charge distribution of boil-and-bite mouthguards to young adult amateur sportsmen affect oral and facial trauma?,R-data,10.1111/j.1600-9657.2008.00708.x,False,,,Wiley
19208022,2009,Dental traumatology : official publication of International Association for Dental Traumatology,Do American football players in Turkey protect themselves from dental or orofacial trauma?,R-age,10.1111/j.1600-9657.2008.00699.x,False,,,Wiley
19302200,2009,Dental traumatology : official publication of International Association for Dental Traumatology,"Use of mouthguard rates among university athletes during sport activities in Erzurum, Turkey.",R-age,10.1111/j.1600-9657.2009.00769.x,False,,,Wiley
19615582,2009,Journal of oral and maxillofacial surgery : official journal of the American Association of Oral and Maxillofacial Surgeons,Dental injuries in association with facial fractures.,R-mixed,10.1016/j.joms.2009.03.052,True,http://www.joms.org/article/S0278239109004467/pdf,publisher,Elsevier BV
1982928,1990,British journal of sports medicine,Oro-facial and dental injuries in club rugby union players.,R-age,10.1136/bjsm.24.4.271,True,https://bjsm.bmj.com/content/bjsports/24/4/271.full.pdf,publisher,BMJ
19925982,2009,Journal of oral and maxillofacial surgery : official journal of the American Association of Oral and Maxillofacial Surgeons,Factors associated with orofacial injury and willingness to participate in interventions among adolescents treated in trauma centers.,R-data,10.1016/j.joms.2009.07.053,False,,,Elsevier BV
20089070,2010,Dental traumatology : official publication of International Association for Dental Traumatology,"Prevalence of traumatic injuries to maxillary permanent teeth in 9- to 14-year-old school children in Yazd, Iran.",R-data,10.1111/j.1600-9657.2009.00861.x,False,,,Wiley
20493614,2010,Journal of oral and maxillofacial surgery : official journal of the American Association of Oral and Maxillofacial Surgeons,"A 9-year retrospective study of dental trauma in Piracicaba and neighboring regions in the State of São Paulo, Brazil.",R-data,10.1016/j.joms.2009.10.006,False,,,Elsevier BV
20572841,2010,Dental traumatology : official publication of International Association for Dental Traumatology,Prevalence of dental trauma in Pan American games athletes.,R-age,10.1111/j.1600-9657.2010.00884.x,False,,,Wiley
20666978,2010,Journal of public health dentistry,Prevalence and associated factors of traumatic dental injuries in Brazilian schoolchildren.,R-data,10.1111/j.1752-7325.2010.00190.x,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1752-7325.2010.00190.x,publisher,Wiley
20669600,2010,Irish medical journal,Maxillofacial and dental injuries sustained in hurling.,R-age,,,,,
20946344,2010,Dental traumatology : official publication of International Association for Dental Traumatology,A retrospective study of 889 injured permanent teeth.,R-mixed,10.1111/j.1600-9657.2010.00924.x,False,,,Wiley
21199336,2011,Dental traumatology : official publication of International Association for Dental Traumatology,Eye injuries and orofacial traumas in floorball--a survey in Switzerland and Sweden.,R-age,10.1111/j.1600-9657.2010.00960.x,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1600-9657.2010.00960.x,publisher,Wiley
