year,category_kind,category_value,raw_cases,weighted_estimate
2013,overall,all_sports_x_all_youth,857,26424
2014,overall,all_sports_x_all_youth,727,21276
2015,overall,all_sports_x_all_youth,716,19073
2016,overall,all_sports_x_all_youth,740,21565
2017,overall,all_sports_x_all_youth,737,20967
2018,overall,all_sports_x_all_youth,647,17383
2019,overall,all_sports_x_all_youth,644,16962
2021,overall,all_sports_x_all_youth,511,14572
2022,overall,all_sports_x_all_youth,596,16555
2023,overall,all_sports_x_all_youth,630,17128
2024,overall,all_sports_x_all_youth,675,21267
2025,overall,all_sports_x_all_youth,719,21347
2013,sport,basketball,342,
2014,sport,basketball,292,
2015,sport,basketball,269,
2016,sport,basketball,253,
2017,sport,basketball,304,
2018,sport,basketball,249,
2019,sport,basketball,238,
2021,sport,basketball,133,
2022,sport,basketball,184,
2023,sport,basketball,210,
2024,sport,basketball,214,
2025,sport,basketball,207,
2013,sport,baseball,164,
2014,sport,baseball,108,
2015,sport,baseball,107,
2016,sport,baseball,134,
2017,sport,baseball,118,
2018,sport,baseball,122,
2019,sport,baseball,116,
2021,sport,baseball,112,
2022,sport,baseball,105,
2023,sport,baseball,108,
2024,sport,baseball,124,
2025,sport,baseball,143,
2013,sport,football_american,118,
2014,sport,football_american,104,
2015,sport,football_american,125,
2016,sport,football_american,112,
2017,sport,football_american,95,
2018,sport,football_american,81,
2019,sport,football_american,72,
2021,sport,football_american,56,
2022,sport,football_american,81,
2023,sport,football_american,96,
2024,sport,football_american,93,
2025,sport,football_american,90,
2013,sport,football_association,56,
2014,sport,football_association,55,
2015,sport,football_association,53,
2016,sport,football_association,65,
2017,sport,football_association,54,
2018,sport,football_association,51,
2019,sport,football_association,54,
2021,sport,football_association,46,
2022,sport,football_association,56,
2023,sport,football_association,69,
2024,sport,football_association,67,
2025,sport,football_association,90,
2013,sport,softball,40,
2014,sport,softball,34,
2015,sport,softball,43,
2016,sport,softball,33,
2017,sport,softball,26,
2018,sport,softball,26,
2019,sport,softball,35,
2021,sport,softball,28,
2022,sport,softball,30,
2023,sport,softball,26,
2024,sport,softball,45,
2025,sport,softball,46,
2013,sport,skateboarding,38,
2014,sport,skateboarding,30,
2015,sport,skateboarding,36,
2016,sport,skateboarding,38,
2017,sport,skateboarding,30,
2018,sport,skateboarding,23,
2019,sport,skateboarding,34,
2021,sport,skateboarding,56,
2022,sport,skateboarding,33,
2023,sport,skateboarding,24,
2024,sport,skateboarding,26,
2025,sport,skateboarding,26,
2013,sport,wrestling,11,
2014,sport,wrestling,13,
2015,sport,wrestling,11,
2016,sport,wrestling,11,
2017,sport,wrestling,12,
2018,sport,wrestling,13,
2019,sport,wrestling,16,
2021,sport,wrestling,10,
2022,sport,wrestling,9,
2023,sport,wrestling,16,
2024,sport,wrestling,18,
2025,sport,wrestling,22,
2013,sport,gymnastics,7,
2014,sport,gymnastics,6,
2016,sport,gymnastics,10,
2017,sport,gymnastics,8,
2018,sport,gymnastics,17,
2019,sport,gymnastics,7,
2021,sport,gymnastics,7,
2022,sport,gymnastics,13,
2023,sport,gymnastics,15,
2024,sport,gymnastics,13,
2025,sport,gymnastics,12,
2013,sport,hockey_unspecified,19,
2014,sport,hockey_unspecified,17,
2015,sport,hockey_unspecified,8,
2016,sport,hockey_unspecified,10,
2017,sport,hockey_unspecified,13,
2018,sport,hockey_unspecified,9,
2019,sport,hockey_unspecified,17,
2021,sport,hockey_unspecified,9,
2022,sport,hockey_unspecified,12,
2023,sport,hockey_unspecified,12,
2024,sport,hockey_unspecified,15,
2025,sport,hockey_unspecified,10,
2013,sport,swimming,6,
2015,sport,swimming,11,
2016,sport,swimming,14,
2017,sport,swimming,13,
2018,sport,swimming,10,
2019,sport,swimming,14,
2021,sport,swimming,8,
2022,sport,swimming,13,
2023,sport,swimming,8,
2024,sport,swimming,14,
2025,sport,swimming,9,
2013,sport,cheerleading,14,
2014,sport,cheerleading,17,
2015,sport,cheerleading,11,
2016,sport,cheerleading,10,
2017,sport,cheerleading,10,
2018,sport,cheerleading,8,
2021,sport,cheerleading,7,
2022,sport,cheerleading,8,
2023,sport,cheerleading,7,
2024,sport,cheerleading,7,
2025,sport,cheerleading,15,
2013,sport,hockey_field,7,
2014,sport,hockey_field,7,
2017,sport,hockey_field,12,
2021,sport,hockey_field,13,
2023,sport,hockey_field,6,
2024,sport,hockey_field,5,
